Timestamp,EA,Message
2025-04-16 09:59:59.151,"NEO GW Cash Sesh v3.0 (XAUUSD,M30)",✅ Long trade placed @3314.34 SL=3304.34 TP=3354.34 Lots=1.0
2025-04-16 12:30:00.348,"NEO GW Cash Sesh v3.0 (XAUUSD,M30)","⏳ MaxBarsInTrade reached, position closed."
